blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
1158 010,1219 ENSOR ST,OLIVER,12,EASTERN,"(39.304583882099998, -76.603350726900004)",05/10/2007
0094 046,2011 RAYNER AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.296716809300001, -76.649815232799995)",04/26/2013
0074 046,1602 W LAFAYETTE AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299063776799997, -76.643501886300001)",04/13/2012
4575 013,3715 W BELVEDERE AVE,LANGSTON HUGHES,6,NORTHWESTERN,"(39.345801130700004, -76.680325879700007)",03/13/2012
2171 027,2559 W BALTIMORE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.287403080300003, -76.657707824100001)",10/26/2010
1166 035,1110 BRENTWOOD AVE,JOHNSTON SQUARE,12,EASTERN,"(39.303205659200003, -76.609830993299994)",08/23/2012
2154 003C,103 N WHEELER AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.289611109200003, -76.654221985299998)",06/17/2011
1478 071,1515 N DURHAM ST,BROADWAY EAST,12,EASTERN,"(39.308132710800002, -76.591988615000005)",09/17/2010
2407 036,2922 WESTWOOD AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.308324046300001, -76.666806595400004)",10/10/2006
2282 039,3408 W MULBERRY ST,LOWER EDMONDSON VILLAGE,8,SOUTHWESTERN,"(39.292066248099999, -76.674978524699995)",09/06/2013
0271 021,340 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.283291779999999, -76.651431196299995)",09/24/2010
4120 041,1625 HOMESTEAD ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.3207400581, -76.595736966900006)",01/27/2012
0294 075,2418 N STOCKTON ST,PENN NORTH,7,WESTERN,"(39.3092871809, -76.6426271399)",04/12/2006
0061 019,1607 RIGGS AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300865315800003, -76.643569142700002)",02/15/2008
0769 078,1107 SARGEANT ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.282873379500003, -76.633258833300005)",11/15/2011
3417 079,2501 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.313257534999998, -76.640711149400005)",04/24/2009
1457 016,1731 RUTLAND AVE,BROADWAY EAST,12,EASTERN,"(39.310372377500002, -76.592694215600005)",10/22/2010
0307 051,2103 PENNSYLVANIA AVE,DRUID HEIGHTS,7,CENTRAL,"(39.306962594600002, -76.638374963299995)",02/01/2012
0850 024,925 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.282666226499998, -76.631747460900002)",05/18/2012
3208 012,1824 W NORTH AVE,MONDAWMIN,7,WESTERN,"(39.310076676000001, -76.647479847300005)",01/14/2008
4166 036,1653 E 25TH ST,DARLEY PARK,14,EASTERN,"(39.315925063500003, -76.593797412699999)",09/26/2012
1107 047,1426 E LANVALE ST,OLIVER,12,EASTERN,"(39.309615493800003, -76.598976087500006)",07/23/2007
1529 056,1705 E PRESTON ST,BROADWAY EAST,12,EASTERN,"(39.305219300600001, -76.594277869300001)",11/03/2010
1122 049,1501 HOLBROOK ST,OLIVER,12,EASTERN,"(39.307244296199997, -76.602910685400005)",04/21/2011
0084 008,814 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.298035707399997, -76.6460638227)",02/22/2010
2407 016,2915 W NORTH AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3088089616, -76.666477461900001)",05/18/2012
0037A033,1366 N FREMONT AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.304967973099998, -76.637996988500007)",07/15/2011
5165B025,613 GLENWOOD AVE,WOODBOURNE-MCCABE,4,NORTHERN,"(39.353384015800003, -76.607203571900001)",06/03/2013
4578 007,3513 W BELVEDERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346972293100002, -76.678493065200001)",03/27/2007
5213 035,526 RICHWOOD AVE,RICHNOR SPRINGS,4,NORTHERN,"(39.347048943799997, -76.608263131800001)",09/14/2012
4429 008,5604 PARK HEIGHTS AVE,GLEN,5,NORTHWESTERN,"(39.352401759000003, -76.684950834099993)",02/17/2012
1477 064,1730 E OLIVER ST,BROADWAY EAST,12,EASTERN,"(39.307724400700003, -76.593325474899999)",04/04/2008
8286 039,2919 SILVER HILL AVE,HOWARD PARK,8,NORTHWESTERN,"(39.328613947400001, -76.710358715500007)",01/14/2013
0234 060,30 S ARLINGTON AVE,HOLLINS MARKET,9,SOUTHERN,"(39.287149796000001, -76.635424742300003)",11/22/2010
1520 065,1305 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.306181887999998, -76.583922642299996)",05/04/2012
0012 070,1651 APPLETON ST,EASTERWOOD,7,WESTERN,"(39.307654065900003, -76.648630486000002)",11/21/2007
1464 049,1713 N PORT ST,BROADWAY EAST,13,EASTERN,"(39.310565821099999, -76.583541351999997)",05/24/2013
2400 011,1809 BRADDISH AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.308596479000002, -76.660802385300002)",06/15/2012
0179 028,101 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,"(39.289734473700001, -76.645117056900006)",06/21/2010
2155 003,2304 W LEXINGTON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.290574508200002, -76.653262389000005)",05/27/2013
2140 001,2601 FREDERICK AVE,MILLHILL,9,SOUTHWESTERN,"(39.281793064299997, -76.657745134199999)",02/13/2012
1181 043,609 E CHASE ST,JOHNSTON SQUARE,12,EASTERN,"(39.302528801199998, -76.608016248300004)",05/11/2012
2110 002,505 MILLINGTON AVE,MILLHILL,9,SOUTHWESTERN,"(39.279726806799999, -76.656099376900002)",12/07/2007
1687 059,214 N DUNCAN ST,CARE,13,SOUTHEASTERN,"(39.294788719800003, -76.587133751799996)",08/30/2011
3402 013,2724 PENNSYLVANIA AVE,PENN NORTH,7,WESTERN,"(39.312762381600002, -76.646039073200001)",04/06/2006
3639 075,323 W LORRAINE AVE,REMINGTON,12,NORTHERN,"(39.319426210700001, -76.620904716599995)",03/08/2013
1155 043,1214 HOMEWOOD AVE,JOHNSTON SQUARE,12,EASTERN,"(39.304514316400002, -76.606806255199999)",01/13/2012
1670 032,450 N PATTERSON PARK AVE,CARE,13,EASTERN,"(39.2964706709, -76.585250065099999)",04/01/2010
1117 041,1622 N BOND ST,OLIVER,12,EASTERN,"(39.308989850099998, -76.597125994899997)",01/18/2013
4528 036,3415 W ROGERS AVE,PIMLICO GOOD NEIGHBORS,5,NORTHWESTERN,"(39.3522290652, -76.681997500999998)",04/22/2013
1099B007,1230 E LAFAYETTE AVE,OLIVER,12,EASTERN,"(39.310605432099997, -76.601500010699993)",07/05/2007
0199 018,1209 W FAYETTE ST,POPPLETON,9,WESTERN,"(39.289549793699997, -76.637211880099997)",10/21/2008
0097 043,717 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.296900849099998, -76.645338189499995)",02/23/2010
3211 059,2016 N PAYSON ST,MONDAWMIN,7,WESTERN,"(39.3114994313, -76.650244902500006)",06/16/2011
4577A017,5004 BEAUFORT AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.345349660300002, -76.678127294700005)",04/19/2007
0394 051,1309 ARGYLE AVE,UPTON,11,CENTRAL,"(39.299911195200004, -76.631591142999994)",07/27/2005
4587 027,3069 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.348778114200002, -76.6735906758)",01/26/2010
4613 025,3003 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.348435595600002, -76.671317054799999)",07/27/2005
0946 056,1120 LEADENHALL ST,SHARP-LEADENHALL,11,SOUTHERN,"(39.276438575299998, -76.618325948099994)",07/22/2011
4178C020,3238 RAVENWOOD AVE,FOUR BY FOUR,13,NORTHEASTERN,"(39.315476345500002, -76.577283710800003)",06/15/2012
0098 037,1611 W LANVALE ST,HARLEM PARK,9,WESTERN,"(39.2975104163, -76.643263795799996)",01/08/2008
3341 030,2601 KEYWORTH AVE,GREENSPRING,6,NORTHERN,"(39.333767653999999, -76.660466357900006)",04/26/2013
4008 016,1260 E NORTH AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312103243099997, -76.600712137499997)",05/29/2013
3413 031,2460 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.312463485000002, -76.640595825199995)",04/12/2006
3312A024,2710 OSWEGO AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.335661759399997, -76.6644508774)",11/16/2012
0377 026,1423 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.303426060200003, -76.629923199900006)",03/26/2009
0758 114,1337 GLYNDON AVE,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.281097526400004, -76.637412764900006)",04/22/2008
2153 108,26 N BENTALOU ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.288673197100003, -76.653150521599997)",06/09/2011
1643 067,617 N BELNORD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.298293877399999, -76.578531418500006)",02/21/2006
1154 030,618 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,"(39.303920056599999, -76.608683641200003)",11/03/2011
0563 027,410 PARK AVE,DOWNTOWN,11,CENTRAL,"(39.294456325100001, -76.618501057700001)",10/09/2012
0223 033,43 S PULASKI ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.286277867999999, -76.649759595899994)",10/08/2008
2256 035,129 S KOSSUTH ST,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.284875169599999, -76.676919601799995)",04/14/2010
1132 019,1424 AISQUITH ST,OLIVER,12,EASTERN,"(39.306650281099998, -76.602569419899993)",09/20/2012
1655 036,534 N MILTON AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2974892911, -76.582473465299998)",07/31/2007
0769 096,1118 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.282728378900003, -76.633067726899995)",10/26/2012
3197 023,3635 WOODLAND AVE,LUCILLE PARK,6,NORTHWESTERN,"(39.339606764599999, -76.674353957799994)",12/22/2006
0847B007,812 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.283138503300002, -76.6292882746)",06/18/2013
4129 008,1624 GORSUCH AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.321613587999998, -76.594867452900004)",03/29/2005
0149 053,328 N BRUCE ST,FRANKLIN SQUARE,9,WESTERN,"(39.292671009400003, -76.644870222400002)",12/11/2011
0096 019,736 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.297292450299999, -76.645995528300006)",01/02/2009
2178 071,2652 FREDERICK AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.281960156399997, -76.658498134599995)",08/16/2013
3207 103,1906 HERBERT ST,MONDAWMIN,7,WESTERN,"(39.310449719200001, -76.648700054599999)",10/08/2009
0175 057,2109 VINE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.289751242599998, -76.650480159200001)",11/16/2007
3410 004,1414 RETREAT ST,PENN NORTH,7,WESTERN,"(39.313093653599999, -76.641808718700005)",03/28/2006
1657 050,2608 JEFFERSON ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.296986427900002, -76.580145602900004)",10/06/2008
0036B053,1327 PRESSTMAN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.305311268799997, -76.640285617700002)",02/09/2012
1172 054,1029 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,"(39.3037908712, -76.602758522000002)",02/08/2008
0072 025,1815 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299637976900001, -76.646991815999996)",07/19/2012
1458 059,1908 E LANVALE ST,BROADWAY EAST,12,EASTERN,"(39.309916281500001, -76.591245339899999)",02/13/2008
2404 049,1631 ASHBURTON ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.306825373400002, -76.661744139199996)",10/17/2008
5765 018,3206 BAYONNE AVE,GLENHAM-BELHAR,3,NORTHEASTERN,"(39.351889941099998, -76.555657470100002)",04/08/2004
1551 034,2014 E CHASE ST,MIDDLE EAST,12,EASTERN,"(39.303619793300001, -76.589467422599995)",08/10/2012
1455 009,1611 N MILTON AVE,BEREA,13,EASTERN,"(39.309318522399998, -76.582598383800004)",01/09/2007
1587 112,918 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.301338517600001, -76.589108072100004)",12/01/2008
2373 047,800 WHITMORE AVE,EVERGREEN LAWN,9,WESTERN,"(39.296539904900001, -76.658262730700002)",02/03/2011
0298 101,503 SANFORD PL,DRUID HEIGHTS,7,CENTRAL,"(39.309535277999998, -76.640237476699994)",12/10/2011
0106 109,606 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.295490698199998, -76.649955861600006)",02/02/2012
1643 061,605 N BELNORD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.298072015400002, -76.578516205200003)",06/03/2011
5858A024,4113 WILKE AVE,WALTHERSON,3,NORTHEASTERN,"(39.333308852199998, -76.559884107399995)",02/01/2012
1517 105,2002 ELLSWORTH ST,BROADWAY EAST,13,EASTERN,"(39.306223631999998, -76.589603941299998)",02/27/2006
0055B015,1128 N CAREY ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.301806503500003, -76.639121140100002)",03/24/2008
0083 068,820 N MONROE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2982913512, -76.647755192700004)",01/24/2008
3055A019,3318 GWYNNS FALLS PKWY,HANLON-LONGWOOD,7,NORTHWESTERN,"(39.314566891699997, -76.673556290700006)",09/05/2013
3070A016,3210 VICKERS ROAD,HANLON-LONGWOOD,7,NORTHWESTERN,"(39.318334320200002, -76.672388547300002)",02/15/2013
0277 021,1606 WILKENS AVE,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283641708700003, -76.642557347999997)",10/07/2012
1549 006,1834 E CHASE ST,MIDDLE EAST,12,EASTERN,"(39.303527771900001, -76.591573944800004)",05/20/2009
2812 017,2215 ROSLYN AVE,MOUNT HOLLY,7,SOUTHWESTERN,"(39.313164765400003, -76.676989189699995)",07/25/2006
1549 046,1827 E BIDDLE ST,MIDDLE EAST,12,EASTERN,"(39.304205175, -76.591757798299994)",08/02/2011
1478 001,1501 RUTLAND AVE,BROADWAY EAST,12,EASTERN,"(39.307892778800003, -76.592537042900005)",03/17/2011
2748C005,4111 FAIRVIEW AVE,WEST FOREST PARK,6,NORTHWESTERN,"(39.322313864199998, -76.687177679399994)",09/13/2011
0064 012,1322 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300352533199998, -76.639462803300006)",12/08/2004
2470 040,2900 W LAFAYETTE AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.298185740699999, -76.666116074399994)",02/02/2012
0272 093,2113 WILHELM ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.283395350699998, -76.650480975500003)",05/26/2009
0083 013,1924 W LANVALE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.297729650500003, -76.648189710500006)",02/21/2007
1145 025,1322 AISQUITH ST,OLIVER,12,EASTERN,"(39.305533690499999, -76.602488557000001)",02/29/2008
0263 054,218 S STRICKER ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.284985264900001, -76.641058742499993)",05/26/2013
1101 038,1533 E NORTH AVE,OLIVER,12,EASTERN,"(39.311720522999998, -76.597250287799994)",07/27/2006
1464 009,2417 E LAFAYETTE AVE,BROADWAY EAST,13,EASTERN,"(39.310897764899998, -76.583922771600001)",10/20/2011
0855 007,624 ARCHER ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.281573142200003, -76.630178180499996)",09/02/2011
0076 025,1417 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299846633000001, -76.640766032900004)",09/11/2009
1125 085,1525 N SPRING ST,OLIVER,12,EASTERN,"(39.308024341299998, -76.598807135300007)",05/13/2010
1145 007,1012 E PRESTON ST,OLIVER,12,EASTERN,"(39.305218013999998, -76.603160310299998)",11/26/2007
4747A003,2816 OAKLEY AVE,CYLBURN,6,NORTHERN,"(39.349083747900004, -76.667185909400004)",11/03/2011
2537 023,4124 WALRAD ST,IRVINGTON,8,SOUTHWESTERN,"(39.280188660199997, -76.684245206900002)",10/01/2013
0294 085,2413 N STOCKTON ST,PENN NORTH,7,WESTERN,"(39.309387470600001, -76.642367996800004)",04/12/2006
0280 009,316 S CALHOUN ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.284101558700002, -76.639540650699999)",02/26/2012
3005 022,2850 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.3094911389, -76.665233586900001)",01/29/2010
0113 042,615 N CAREY ST,HARLEM PARK,9,WESTERN,"(39.295903680099997, -76.638214631699995)",03/27/2007
2924 006,3409 DUVALL AVE,HANLON-LONGWOOD,7,NORTHWESTERN,"(39.3200241531, -76.675719895900002)",10/07/2013
0698 004,406 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.282539644400003, -76.648536228200001)",01/31/2008
7268 006,3623 FAIRHAVEN AVE,CURTIS BAY,10,SOUTHERN,"(39.231561030000002, -76.590325847800003)",08/03/2010
4010C030,1235 DARLEY AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3154879792, -76.598270540499996)",02/18/2011
1188 070,1228 E EAGER ST,JOHNSTON SQUARE,12,EASTERN,"(39.301806792599997, -76.600788937100006)",01/13/2012
5542 041,3102 ROSALIE AVE,NORTH HARFORD ROAD,3,NORTHEASTERN,"(39.3675155846, -76.545430829099999)",11/04/2011
1557 057,2623 E BIDDLE ST,BIDDLE STREET,13,EASTERN,"(39.304651364599998, -76.580435290599993)",01/13/2012
1368 001,1501 E BALTIMORE ST,WASHINGTON HILL,12,SOUTHEASTERN,"(39.291229695299997, -76.596980441499994)",10/04/2011
3229 032,2718 AUCHENTOROLY TERR,PARKVIEW/WOODBROOK,7,WESTERN,"(39.315315575699998, -76.644858018799994)",08/31/2012
1625 087,713 N ROSE ST,MILTON-MONTFORD,13,EASTERN,"(39.299410203999997, -76.581436988099995)",08/16/2007
1504 032C,2428 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.307048312500001, -76.583390807000001)",08/22/2007
4070A033,509 E 27TH ST,BETTER WAVERLY,14,NORTHERN,"(39.320720951699997, -76.608796074500006)",12/05/2012
1459 084,1723 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,"(39.3103217906, -76.590021737699999)",06/23/2010
2178 032,322 S FRANKLINTOWN ROAD,SHIPLEY HILL,9,SOUTHWESTERN,"(39.283151458200003, -76.657709708900001)",10/26/2009
1516 006,1913 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.306383490199998, -76.590837797399999)",09/21/2011
8293 030,5101 LIBERTY HEIGHTS AVE,HOWARD PARK,8,NORTHWESTERN,"(39.332845474800003, -76.701065860100002)",11/05/2012
1162 005,1211 N EDEN ST,OLIVER,12,EASTERN,"(39.304653437600003, -76.599263846400007)",06/19/2008
6277 054,3411 LEVERTON AVE,BALTIMORE HIGHLANDS,1,SOUTHEASTERN,"(39.291702567999998, -76.568752271199997)",09/21/2012
1538 025G,2528 E BIDDLE ST,BEREA,13,EASTERN,"(39.304970858700003, -76.581779202800007)",07/19/2005
1516 010,1921 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.306393229699999, -76.590625623500003)",07/17/2007
0393 045,1323 MYRTLE AVE,UPTON,11,CENTRAL,"(39.299510977700002, -76.632725439699996)",07/17/2009
0127 047,532 N ARLINGTON AVE,HARLEM PARK,9,WESTERN,"(39.295296149400002, -76.635928453399998)",04/10/2006
2173 013,149 WILLARD ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.284914051199998, -76.654564440100003)",06/25/2013
0122 007,514 N GILMOR ST,HARLEM PARK,9,WESTERN,"(39.294379262200003, -76.642988849100007)",11/09/2011
0198 022,1316 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.288683319699999, -76.638991601399994)",05/17/2013
3410 046,2625 FRANCIS ST,PENN NORTH,7,WESTERN,"(39.314468888199997, -76.643748148499995)",04/12/2006
0064 018,1334 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300264153500002, -76.639771958699995)",02/09/2011
2218 042,2862 W MULBERRY ST,PENROSE/FAYETTE STREET OUTREACH,9,SOUTHWESTERN,"(39.292764634699999, -76.664169091100007)",08/18/2011
1118 064,1624 E FEDERAL ST,OLIVER,12,EASTERN,"(39.308678149899997, -76.595702422499997)",05/27/2011
1148 008,1315 N CENTRAL AVE,OLIVER,12,EASTERN,"(39.305588006400001, -76.600258045000004)",01/08/2008
1651 019,2021 MCELDERRY ST,CARE,13,EASTERN,"(39.297291292099999, -76.588461356300002)",05/02/2013
4596 030,4025 W GARRISON AVE,LANGSTON HUGHES,6,NORTHWESTERN,"(39.342386371099998, -76.6814404247)",10/10/2008
1449 124,1821 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,"(39.311573908600003, -76.590073232099996)",04/03/2006
3185A004,4308 REISTERSTOWN ROAD,TOWANDA-GRANTLEY,6,NORTHWESTERN,"(39.337754509699998, -76.667400587499998)",04/10/2007
1162 025,1427 E PRESTON ST,OLIVER,12,EASTERN,"(39.3050484109, -76.598644062100007)",07/03/2013
0096 029,1809 W LANVALE ST,HARLEM PARK,9,WESTERN,"(39.297387439200001, -76.646526728400005)",10/21/2011
4587 050,3025 SPAULDING AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.349345201699997, -76.672562662700003)",03/08/2006
1553 018,2234 E CHASE ST,MIDDLE EAST,13,EASTERN,"(39.303753040399997, -76.585985741599998)",09/04/2008
1145 019,1306 AISQUITH ST,OLIVER,12,EASTERN,"(39.305289791600003, -76.602474391300007)",12/11/2007
4188B035,3127 CLIFTMONT AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.319045826100002, -76.574719708499998)",12/11/2012
4167 011,2022 E NORTH AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.3126230234, -76.589319644499994)",12/02/2011
0275 106,1824 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2838243693, -76.645917490599999)",10/14/2009
4132 026,1566 CARSWELL ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322673474799998, -76.595150239399999)",09/03/2007
5197 049,612 E 43RD ST,WILSON PARK,4,NORTHERN,"(39.342024453699999, -76.606603933299994)",07/02/2010
0265 009,1317 W PRATT ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.285334190199997, -76.638503958100003)",02/05/2013
4048A012A,3609 GREENMOUNT AVE,WAVERLY,14,NORTHERN,"(39.332899578400003, -76.609178493000002)",06/13/2012
0205 064,2107 BOOTH ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287371373100001, -76.650593296300002)",12/28/2006
0272 036,333 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.283305864100001, -76.650937288099996)",12/06/2012
0073 032,914 N MOUNT ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299474930300001, -76.644652484700003)",12/07/2004
0452 071,822 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.296336064599998, -76.631736156900004)",11/10/2004
1506 082,2604 LLEWELYN AVE,BEREA,13,EASTERN,"(39.307621938899999, -76.580917309200004)",05/10/2007
2849 019,4127 WOODHAVEN AVE,WINDSOR HILLS,6,NORTHWESTERN,"(39.319673613399999, -76.685751099699999)",11/23/2012
0113 020,638 N CARROLLTON AVE,HARLEM PARK,9,WESTERN,"(39.296547164800003, -76.637436427699996)",11/02/2012
2170A022,2542 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.288480893399999, -76.657723607400001)",01/24/2007
5864 063,4605 BENTON HEIGHTS AVE,WALTHERSON,3,NORTHEASTERN,"(39.331824036299999, -76.561580477999996)",12/09/2011
0074 032,924 N GILMOR ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299506731400001, -76.643238523999997)",07/20/2010
4156 038,1908 N WOLFE ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.3128328544, -76.592063810300004)",09/24/2007
1144 059,910 E PRESTON ST,JOHNSTON SQUARE,12,EASTERN,"(39.3051485067, -76.604748159099998)",07/29/2010
4589 008,5115 CHALGROVE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.350756446200002, -76.671163228200001)",07/17/2008
4188B074,3117 LAWNVIEW AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.319633791500003, -76.574481342799999)",03/12/2010
1121 033,1537 ENSOR ST,OLIVER,12,EASTERN,"(39.307853360400003, -76.603684755399996)",12/26/2008
0013A048,1639 N MONROE ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.307449044099997, -76.647765410600002)",03/23/2009
3252 052,2312 ANOKA AVE,LIBERTY SQUARE,7,NORTHWESTERN,"(39.3215684193, -76.656209529400002)",04/12/2010
3403 068,1567 RICHLAND ST,PENN NORTH,7,WESTERN,"(39.313085019500001, -76.645350459100001)",06/21/2013
2170B028,2524 W BALTIMORE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.287903745400001, -76.657200525700006)",07/28/2006
1776 091,2217 PORTUGAL ST,UPPER FELLS POINT,1,SOUTHEASTERN,"(39.286233793699999, -76.585344390299994)",01/03/2013
0190 011,2124 W BALTIMORE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.288207693799997, -76.6509444836)",09/08/2010
0117 012,522 N PULASKI ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.294218909500003, -76.650657796499999)",06/04/2009
1277 012,520 OLDTOWN MALL,OLDTOWN,12,EASTERN,"(39.296714691799998, -76.603712279000007)",11/19/2008
3197 006,4644 REISTERSTOWN ROAD,LUCILLE PARK,6,NORTHWESTERN,"(39.340563291899997, -76.673180981599998)",01/06/2006
1456 075,1708 E LANVALE ST,BROADWAY EAST,12,EASTERN,"(39.309811636500001, -76.594160200499999)",07/20/2012
2424B028,1619 N ROSEDALE ST,ROSEMONT,9,SOUTHWESTERN,"(39.306668012000003, -76.668867476499997)",03/09/2012
0276 100,302 S BRUCE ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.284033891500002, -76.644432399500005)",03/18/2012
0058 037,1021 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.300492090100001, -76.649079892299994)",04/23/2010
0359 037,637 PITCHER ST,UPTON,11,CENTRAL,"(39.3017871156, -76.635397603599998)",05/28/2009
2403 031,2742 BAKER ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.3062872211, -76.662683325499998)",01/15/2013
0077 004,1313 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299917651299999, -76.639304482900002)",10/09/2008
0175 033,2138 VINE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.290022786599998, -76.651134847600005)",11/16/2007
0077 026,911 N CALHOUN ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299506430699999, -76.639872358800005)",11/05/2004
7118 026,907 STOLL ST,BROOKLYN,10,SOUTHERN,"(39.230381710300001, -76.599666818900005)",08/25/2006
2401B044,2707 WESTWOOD AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.308074706699998, -76.661645273999994)",04/29/2013
